word,auto_cluster
abandon,149
abase,50
abash,102
abate,-1
abbreviate,63
abdicate,116
aberrant,146
abet,-1
abeyance,72
abhor,-1
abiding,21
abject,-1
abjure,-1
abnegate,-1
abominate,102
aboveboard,0
abrade,-1
abridge,-1
abrogate,116
abscond,40
absolute,-1
absolve,0
abstain,142
abstemious,-1
abstract,-1
abstruse,19
absurd,-1
abundant,122
abuse,171
acquainted,135
abysmal,-1
accede,118
ad hoc,64
accessible,182
accessory,-1
accidental,-1
acclimate,23
accolade,179
accommodate,23
accentuate,160
accrete,26
accumulate,25
acerbic,95
acme,87
acquiesce,-1
acrid,95
acrimonious,-1
acumen,-1
acute,-1
adamant,19
adapt,22
addict,140
adhere,-1
adjourn,114
adjunct,54
ad-lib,69
admonish,-1
adore,139
adulate,7
adulterate,-1
adumbrate,13
adventitious,54
adversary,150
advert,136
advocate,136
affable,5
affinity,180
affluent,157
aggrandize,24
aggravate,104
aggregate,-1
aggressive,-1
aggrieve,99
agitate,140
agog,-1
agonize,99
airtight,55
alacrity,-1
alibi,-1
alienate,-1
align,22
allay,60
allegiance,2
alleviate,-1
allude,-1
allure,130
ally,-1
aloft,52
aloof,16
altruism,97
amalgamate,81
ambiguous,27
amble,48
ambrosial,-1
ameliorate,24
amenable,-1
amenity,-1
amiable,5
amicable,5
amity,5
amorphous,-1
anodyne,18
anarchist,-1
anathema,88
ancillary,-1
anecdote,63
anemic,74
anesthetic,71
animate,139
animus,119
annoy,-1
annul,-1
anomalous,146
anonymous,-1
antagonize,-1
antediluvian,-1
anterior,13
antic,-1
apathy,-1
aphorism,63
apocalyptic,181
apocryphal,-1
apoplectic,132
apostasy,97
appall,-1
appeal,-1
appealing,164
applause,118
apposite,157
appreciable,160
apprehension,-1
apprise,145
approbation,118
appropriate,110
apropos,-1
apt,-1
archaic,72
archetype,-1
ardor,155
arduous,36
anthropogenic,127
arrest,106
arresting,130
arrhythmic,-1
arrogance,-1
articulate,182
ascendant,127
ascetic,-1
aseptic,45
askew,112
aspect,160
asperity,-1
aspersion,-1
aspirant,-1
assent,9
assert,-1
assertive,142
assess,-1
assiduous,13
assuage,60
astounding,168
astute,15
asunder,46
asylum,34
